Depth (m),Area (m2),Diameter (m),Volume segment (m3),Volume (m3),(1/A)dA/dz (m-1),Interpolated ()
0,7281511,1523,7242300,358759641,,false
1,7203089,1515,7163180,351517341,-0.011,false
2,7123272,1506,7094978,344354161,-0.01,false
3,7066683,1500,7045303,337259183,-0.007,false
4,7023923,1496,7006292,330213880,-0.006,false
5,6988660,1492,6969741,323207588,-0.005,false
6,6950822,1488,6928518,316237847,-0.006,false
7,6906215,1483,6879705,309309329,-0.007,false
8,6853195,1477,6823536,302429624,-0.008,false
9,6793877,1471,6762960,295606088,-0.009,false
10,6732044,1464,6700022,288843128,-0.009,false
11,6668001,1457,6635567,282143106,-0.01,false
12,6603133,1450,6570946,275507539,-0.01,false
13,6538758,1443,6507901,268936593,-0.01,false
14,6477044,1436,6445934,262428692,-0.01,false
15,6414823,1429,6382424,255982758,-0.01,false
16,6350025,1422,6318505,249600334,-0.01,false
17,6286985,1415,6255085,243281829,-0.01,false
18,6223185,1408,6192190,237026744,-0.01,false
19,6161194,1401,6130025,230834554,-0.01,false
20,6098856,1394,6066739,224704529,-0.01,false
21,6034622,1386,6003398,218637790,-0.01,false
22,5972175,1379,5940862,212634392,-0.01,false
23,5909548,1372,5877281,206693530,-0.011,false
24,5845014,1364,5811886,200816249,-0.011,false
25,5778759,1357,5742926,195004363,-0.012,false
26,5707092,1348,5669200,189261437,-0.013,false
27,5631309,1339,5594902,183592237,-0.013,false
28,5558496,1330,5521545,177997335,-0.013,false
29,5484594,1322,5443223,172475790,-0.014,false
30,5401852,1312,5359971,167032567,-0.015,false
31,5318090,1301,5281808,161672596,-0.015,false
32,5245525,1292,5207284,156390788,-0.014,false
33,5169042,1283,5128456,151183504,-0.015,false
34,5087871,1273,5046980,146055048,-0.016,false
35,5006089,1263,4968074,141008068,-0.016,false
36,4930059,1253,4891416,136039994,-0.016,false
37,4852772,1243,4811948,131148578,-0.016,false
38,4771123,1233,4727711,126336630,-0.018,false
39,4684299,1221,4641490,121608919,-0.018,false
40,4598681,1210,4562433,116967429,-0.017,false
41,4526185,1201,4491894,112404996,-0.016,false
42,4457604,1191,4425038,107913102,-0.015,false
43,4392471,1183,4361883,103488064,-0.014,false
44,4331295,1174,4300360,99126181,-0.014,false
45,4269425,1166,4235932,94825821,-0.015,false
46,4202439,1157,4167048,90589889,-0.016,false
47,4131656,1147,4096229,86422841,-0.017,false
48,4060802,1137,4023756,82326612,-0.018,false
49,3986710,1127,3947614,78302856,-0.019,false
50,3908517,1116,3868332,74355242,-0.02,false
51,3828147,1104,3787488,70486910,-0.021,false
52,3746830,1092,3706618,66699422,-0.022,false
53,3666407,1081,3622910,62992804,-0.023,false
54,3579414,1068,3531274,59369894,-0.026,false
55,3483134,1053,3436192,55838620,-0.027,false
56,3389250,1039,3340326,52402428,-0.028,false
57,3291403,1024,3239500,49062102,-0.031,false
58,3187596,1008,3137380,45822602,-0.032,false
59,3087163,992,3029578,42685222,-0.035,false
60,2971994,973,2911894,39655644,-0.04,false
61,2851794,953,2813946,36743750,-0.034,false
62,2776097,940,2738312,33929804,-0.027,false
63,2700526,927,2660674,31191492,-0.029,false
64,2620821,914,2578662,28530818,-0.031,false
65,2536503,899,2496934,25952156,-0.032,false
66,2457364,885,2415272,23455222,-0.033,false
67,2373179,869,2330245,21039950,-0.036,false
68,2287311,853,2242030,18709705,-0.039,false
69,2196749,836,2148568,16467675,-0.043,false
70,2100387,818,2048984,14319107,-0.047,false
71,1997582,798,1946024,12270123,-0.052,false
72,1894465,777,1837918,10324099,-0.057,false
73,1781372,753,1712596,8486181,-0.07,false
74,1643819,724,1553144,6773585,-0.097,false
75,1462470,682,1342946,5220441,-0.144,false
76,1223423,624,1096063,3877495,-0.202,false
77,968703,555,883548,2781432,-0.219,false
78,798393,504,725324,1897884,-0.198,false
79,652255,456,577841,1172560,-0.226,false
80,503427,400,423216,594719,-0.307,false
81,343006,331,171503,171503,-0.734,false
82,0,0,0,0,,false
